label,Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
¢ô,5740,,,,8.8,,,0,17.6,0.03,0.62,1,0.6,5.2,1.9,22,9,44,11,110,22,244,733,,,4.9,0.8,28,101,4.63,
¢ô,5110,,,,9.9,,,0.03,22.1,0.12,1.34,2,1,8.9,2.7,33,13,72,18,198,41,415,745,,,5.9,0.68,17,59,2.87,
¢ô,5870,,,,7.4,,,0,13.2,0.02,0.23,0.6,0.3,3.2,1.1,13,6,30,8,82,16,173,719,,,6.2,0.65,57,330,8.66,
¢ô,5170,,,,5.9,,,0,27.7,0.27,3.46,6,3.5,28.3,8.2,89,34,160,39,386,72,858,698,,,4.3,0.83,8,32,-0.69,
¢ô,5030,,,,12.8,,,0,87.9,0.34,4.34,7.9,4.1,32.7,9.7,107,39,182,42,416,77,1010,770,,,3.9,0.78,20,85,4.93,
¢ô,5250,,,,5.3,,,0.07,26.3,0.31,3.71,5.6,3.5,27,8.1,86,32,161,38,376,70,837,689,,,4.4,0.86,7,25,-1.94,
¢ô,4980,,,,8.9,,,0,44.6,0.15,1.76,2.4,1.6,10.8,3.8,46,19,91,22,224,43,509,735,,,4.9,0.96,25,80,3.76,
¢ô,11280,,,,0,,,0,62.2,0.09,1.72,3.3,0.9,14.8,5.3,59,23,113,29,336,79,727,,,,5.7,0.4,36,160,-67.37,
¢ô,7640,,,,15,,,0,21.2,0.05,1.06,2.1,0.5,10.5,3,36,13,63,14,145,32,341,823,,,4.1,0.34,20,93,6.54,
¢ó,9320,35,53,237,7.45,,,0,9.4,0.03,0.51,0.96,0.42,4.78,1.48,18.6,6.98,,,107,22,,745,0.66,39,5.8,0.6,18,81,4.09,0.002529
¢ó,9480,40,55,347,10.5,,,0.01,12.1,0.04,0.62,1.39,0.45,7.43,2.28,28.6,11,,,136,27,,778,0.73,27,4.8,0.43,20,102,5.82,0.001234
¢ó,10200,63,68,565,8.59,,,0,13.9,0.04,1.1,2.86,0.84,12.3,3.87,49.2,17.8,,,213,41,,759,0.93,18,4.3,0.43,13,77,4.24,0.000766
¢ó,9140,41,57,437,13.7,,,0.08,11.3,0.04,0.71,1.56,0.48,7.87,2.57,34.5,13.5,,,180,36,,806,0.72,21,5.2,0.42,16,81,5.64,0.000958
¢ó,9120,50,57,490,9.74,,,0,11.3,0.07,1.42,2.74,0.82,11.5,3.37,41.3,15.1,,,188,37,,771,0.88,19,4.6,0.45,8,36,1.7,0.000911
¢ó,8290,47,51,369,6.72,,,0.01,10.2,0.04,0.88,1.96,0.69,8.57,2.5,29.8,11.3,,,138,29,,736,0.92,22,4.6,0.51,12,60,2.72,0.001395
¢ó,9310,46,54,537,11.1,,,0,11.5,0.07,1.34,2.65,0.74,11.6,3.66,46.2,17.2,,,201,39,,784,0.85,17,4.4,0.41,9,40,2.4,0.00076
¢ó,9630,44,66,413,7.87,,,0.01,11.2,0.05,0.92,1.92,0.66,8.3,2.53,31.6,12.3,,,186,39,,750,0.67,23,5.9,0.5,12,59,3.06,0.001221
¢ó,10473,87,382,655,3.7,,,0,12,0.02,0.41,1.2,0.6,8.3,3.1,43,19,105,27,315,81,615,689,0.23,16,7.3,0.62,29,201,5.93,0.00094
¢ó,9812,31,78,298,3.9,,,0,7.1,0.02,0.32,0.8,0.4,4.3,1.6,21,9,49,12,139,34,277,693,0.39,33,6.7,0.6,22,124,4.23,0.002019
¢ó,9851,27,74,179,4.4,,,0,5.9,0.01,0.24,0.5,0.2,2.8,1,13,5,29,7,85,20,170,704,0.37,55,6.5,0.61,24,121,4.45,0.003387
¢ó,9225,45,113,394,4.6,,,0,8.1,0.02,0.44,0.9,0.5,5.8,2,28,12,64,16,177,43,357,708,0.4,23,6.4,0.62,19,94,3.64,0.001576
¢ó,10124,33,106,220,3.3,,,0.01,7,0.01,0.22,0.7,0.3,3.4,1.1,16,6,35,9,101,25,204,680,0.31,46,6.5,0.56,31,222,6.04,0.002558
¢ó,9596,26,77,289,2.9,,,0,5.7,0.01,0.35,0.7,0.4,4.2,1.6,21,9,48,12,137,34,272,670,0.34,33,6.6,0.65,16,75,1.63,0.002234
¢ó,10062,25,67,254,3.9,,,0.01,6.3,0.01,0.25,0.6,0.3,3.7,1.3,18,8,41,10,118,29,236,692,0.37,40,6.6,0.59,26,146,4.81,0.00232
¢ó,10083,111,188,401,4.3,,,0.02,12.5,0.03,0.46,1.2,0.5,6.4,2.2,30,12,65,16,174,41,361,701,0.59,25,5.9,0.55,27,168,5.6,0.001374
¢ó,10585,38,111,353,3.3,,,0,8.3,0.02,0.38,1,0.5,5.3,1.9,25,10,57,15,164,39,327,680,0.34,30,6.6,0.6,22,143,4.37,0.001705
¢ó,9677,33,83,306,4.8,,,0.02,6.5,0.03,0.41,0.9,0.4,4.9,1.7,22,9,51,13,144,35,288,711,0.39,32,6.6,0.62,16,77,2.99,0.002011
¢ó,10371,37,107,341,3.2,,,0,8.1,0.02,0.34,0.9,0.4,5,1.8,24,10,57,14,164,40,325,677,0.35,30,6.9,0.55,24,147,4.38,0.001621
¢ó,9481,47,119,431,4.7,,,0,8.9,0.02,0.57,1.2,0.6,6.8,2.3,31,13,71,18,202,48,403,709,0.39,22,6.5,0.65,16,77,2.9,0.001513
¢ó,9555,62,138,501,4.8,,,0,10.2,0.05,1.06,1.9,0.8,9.1,2.9,37,16,82,20,224,52,457,712,0.45,19,6,0.59,10,39,0.45,0.001183
¢ó,9651,55,136,406,4.2,,,0.01,11.3,0.02,0.41,1,0.5,6.1,2.2,29,12,68,17,192,46,386,700,0.4,24,6.7,0.57,27,152,5.19,0.001411
¢ó,9970,51,137,457,3.4,,,0,11.4,0.02,0.42,1.1,0.5,6.6,2.3,32,14,77,19,219,52,436,682,0.37,22,6.8,0.54,27,172,5.14,0.001181
¢ó,9585,50,100,208,4.2,,,0,6.9,0.02,0.29,0.6,0.3,3.3,1.2,15,6,33,8,92,22,189,700,0.5,46,6.1,0.7,24,116,4.19,0.003345
¢ó,9882,35,90,319,4.1,,,0,8.1,0.02,0.4,0.9,0.4,5,1.7,23,10,53,13,151,36,301,698,0.38,31,6.7,0.59,20,100,3.57,0.00184
¢ó,9635,35,91,341,3.8,,,0.01,7.2,0.02,0.35,0.9,0.4,5,1.8,24,10,56,14,154,39,312,691,0.38,28,6.5,0.58,20,126,4.24,0.001713
¢ó,9489,49,130,467,5.1,,,0.01,9.4,0.03,0.54,1.3,0.6,6.9,2.4,32,14,76,19,209,51,422,717,0.38,20,6.5,0.61,17,98,4.04,0.001312
¢ó,10372,33,103,346,2.7,,,0.01,6.8,0.02,0.29,0.9,0.4,5.1,1.8,24,10,57,14,167,40,328,662,0.32,30,6.9,0.63,23,172,4.52,0.001816
¢ó,11989,1690,1711,510,3.8,,,0.01,42.6,0.08,1.4,2.1,0.8,9.2,2.8,35,14,79,20,235,57,499,692,0.99,24,6.8,0.57,30,105,3.59,0.001123
¢ó,11982,72,193,309,2.6,,,0,15.9,0.01,0.32,0.8,0.4,4.5,1.5,21,9,50,13,152,37,306,661,0.37,39,7.4,0.55,50,310,6.7,0.001789
¢ó,13355,96,310,264,1.9,,,0,11.1,0.01,0.29,0.5,0.3,3.4,1.2,17,7,43,12,139,37,272,635,0.31,51,8.2,0.64,38,162,3.41,0.002426
¢ó,10870,85,190,231,5.2,,,0.14,15.5,0.06,0.51,0.9,0.4,4.3,1.4,17,7,37,9,102,23,218,718,0.45,47,5.9,0.55,31,126,5.03,0.002372
¢ó,11620,167,270,602,4,,,0.02,20.8,0.09,1.58,3,1,13.1,4.1,48,19,96,23,239,55,523,695,0.62,19,5,0.51,13,57,1.4,0.000848
¢ó,11273,90,222,240,4,,,0.01,13.1,0.02,0.37,0.7,0.3,4,1.3,17,7,39,10,105,25,222,695,0.4,47,6.1,0.56,36,165,5.36,0.002321
¢ó,10805,44,123,190,4.1,,,0,10.2,0.01,0.23,0.5,0.2,3,1,14,6,31,8,87,20,179,698,0.35,57,6.4,0.52,45,240,6.86,0.00272
¢ó,12827,145,365,438,2.5,,,0.06,13.2,0.06,0.91,1.7,0.6,7.7,2.5,31,13,71,18,210,54,424,656,0.4,29,6.7,0.54,15,63,0.53,0.001239
¢ó,9983,31,72,189,6.9,,,0,8.2,0.02,0.35,0.8,0.3,3.4,1.1,14,6,31,7,81,18,171,744,0.43,53,5.8,0.51,23,120,5.55,0.002712
¢ó,10868,55,126,222,3.9,,,0,11.9,0.02,0.36,0.8,0.3,3.8,1.3,17,7,36,9,99,22,207,692,0.43,49,5.9,0.55,34,170,5.38,0.002471
¢ó,10752,134,238,429,3.4,,,0,17.4,0.03,0.61,1.5,0.6,7.6,2.6,33,13,70,17,178,41,382,682,0.56,25,5.4,0.53,29,168,5.05,0.001228
¢ó,10804,100,210,326,3.8,,,0,16.4,0.02,0.48,1.2,0.4,5.9,1.9,24,10,52,13,138,31,294,692,0.47,33,5.7,0.47,34,195,5.9,0.001454
¢ó,10697,67,164,300,4.7,,,0,14.6,0.02,0.43,1.2,0.4,5.4,1.8,23,9,47,12,124,28,266,710,0.41,36,5.4,0.51,34,209,6.7,0.001697
¢ó,7902,49,101,518,9.2,,,0,7.6,0.05,0.8,1.4,0.7,6.6,2.4,33,15,86,21,227,54,456,771,0.48,15,6.8,0.69,9,38,1.9,0.001333
¢ó,11081,49,118,199,6.2,,,0.01,9.5,0.02,0.31,0.7,0.3,3.4,1.1,15,6,32,8,92,21,189,734,0.41,56,6.2,0.53,31,166,6.5,0.00264
¢ó,9344,61,101,,5.3,,,0.05,8.3,0.04,0.57,1,0.5,5.2,1.8,26,11,66,16,215,51,402,726,0.6,,8.3,0.71,15,58,2.33,#DIV/0!
¢ó,9836,39,74,,5.1,,,0.01,5.6,0,0.35,0.5,0.3,2.7,1,13,6,32,8,111,25,205,724,0.53,,8.5,0.67,16,59,2.32,#DIV/0!
¢ó,9469,59,102,,3.3,,,0,8,0.03,0.29,0.9,0.4,5.8,1.9,28,12,71,18,233,54,433,686,0.58,,8.3,0.54,28,207,5.96,#DIV/0!
¢ó,8734,51,98,,4.8,,,0,7.7,0.03,0.47,0.8,0.5,5.3,1.7,25,11,62,16,211,50,392,719,0.52,,8.4,0.68,16,69,2.8,#DIV/0!
¢ó,9180,61,106,,3.2,,,0,8.1,0.02,0.43,0.9,0.5,5.7,2.1,29,13,74,18,237,56,446,684,0.57,,8.2,0.62,19,96,3.01,#DIV/0!
¢ó,9412,41,76,,3.3,,,0,6.7,0.02,0.41,0.8,0.4,4.8,1.6,22,10,55,14,183,43,341,685,0.54,,8.4,0.66,16,73,1.98,#DIV/0!
¢ó,9345,71,128,,4.2,,,0,10.1,0.02,0.47,1.1,0.7,5.9,2.2,32,14,81,20,267,62,495,706,0.55,,8.4,0.78,22,117,4.39,#DIV/0!
¢ó,9123,57,100,,4.6,,,0,8.2,0.02,0.47,1.4,0.6,6.4,2.2,30,14,79,19,251,57,469,714,0.57,,8.3,0.66,17,118,4.65,#DIV/0!
¢ó,9450,74,119,,5.4,,,0.01,9.8,0.05,0.34,1.1,0.6,7.3,2.7,36,16,89,22,280,64,527,729,0.62,,7.9,0.68,29,227,7.53,#DIV/0!
¢ó,10004,109,145,,3.6,,,0,10.5,0.02,0.32,0.8,0.5,5.5,1.9,26,11,60,14,191,42,363,692,0.75,,7.5,0.73,33,193,5.87,#DIV/0!
¢ó,9392,108,166,,4.7,,,0.01,15.7,0.04,0.77,1.4,0.7,8,2.8,40,18,99,25,314,71,596,717,0.65,,7.8,0.6,20,86,3.55,#DIV/0!
¢ó,9625,298,277,,3.9,,,0,27.5,0.05,0.72,1.9,1,12.8,4.3,59,25,136,32,405,87,793,700,1.08,,6.8,0.64,38,234,6.83,#DIV/0!
¢ó,9674,90,124,,3.2,,,0,8.7,0.02,0.29,0.8,0.3,4.9,1.7,22,10,54,13,171,39,325,683,0.73,,7.6,0.51,30,199,5.71,#DIV/0!
¢ó,9177,50,92,,4.9,,,0,7.2,0.02,0.52,0.8,0.4,5.6,1.7,25,11,65,16,216,51,400,720,0.54,,8.8,0.58,14,48,1.46,#DIV/0!
¢ó,9358,63,109,,5.5,,,0.01,8.4,0.02,0.57,1.1,0.5,6.1,2,28,13,70,17,229,53,428,730,0.58,,8.2,0.61,15,63,2.73,#DIV/0!
¢ó,9101,70,110,,5.6,,,0,8.6,0.02,0.35,0.8,0.5,6,2.1,29,13,71,18,228,52,428,731,0.64,,8,0.67,24,126,5.39,#DIV/0!
¢ó,9281,37,74,,3.7,,,0,5.7,0.01,0.28,0.5,0.3,4.1,1.4,19,8,49,12,165,40,306,695,0.5,,8.7,0.73,21,86,2.92,#DIV/0!
¢ó,8947,39,78,,2.8,,,0,6.3,0.02,0.48,0.8,0.5,5.1,1.8,27,12,67,17,219,52,408,674,0.5,,8.2,0.69,13,53,0.47,#DIV/0!
¢ó,9647,96,137,,5.3,,,0.01,10.4,0.02,0.58,1,0.5,6.2,2.2,30,13,77,19,246,56,463,727,0.7,,8.2,0.63,18,73,3.2,#DIV/0!
¢ó,9565,66,125,,3.1,,,0,10.2,0.05,0.46,0.9,0.6,6.5,2.1,29,13,75,18,243,56,455,681,0.52,,8.4,0.8,22,105,3.24,#DIV/0!
¢ó,,144,188,615,8.7,,,0.17,13.6,0.07,0.81,1.9,0.8,9.6,3.1,47,19,110,28,350,76,660,782,0.77,,7.4,0.6,17,92,5.52,0.000977
¢ó,,68,104,399,6.2,,,0.07,8.2,0.03,0.4,1,0.5,5.1,1.6,27,11,66,17,219,46,403,749,0.65,,8.2,0.64,21,115,5.51,0.001592
¢ó,,101,150,431,4.3,,,0,12.3,0.03,0.4,1,0.5,5.8,1.9,30,12,71,18,232,50,435,715,0.67,,7.9,0.61,31,179,6.24,0.001414
¢ó,,61,113,394,4.7,,,0.02,8.2,0.02,0.38,0.8,0.4,4.8,1.6,26,11,65,18,226,49,412,723,0.54,,8.8,0.64,22,106,4.5,0.001623
¢ó,,182,206,560,6.2,,,0.04,14.7,0.03,0.54,1.3,0.6,7.3,2.4,38,16,91,23,294,63,552,750,0.89,,7.8,0.61,27,147,6.45,0.001085
¢ó,,78,125,598,6.3,,,1.36,11.5,0.31,1.68,1.2,0.6,6.8,2.3,39,17,101,26,334,71,615,750,0.62,,8.6,0.67,7,12,-3.01,0.001126
¢ó,,176,180,716,4.4,,,0.01,17.4,0.11,1.89,3.4,1.4,15.3,4.7,68,27,141,34,405,82,800,718,0.97,,6,0.6,9,38,0.55,0.000831
¢ó,,73,112,537,5.2,,,0,8.5,0.04,0.59,1.3,0.6,7,2.3,35,15,88,22,283,62,525,732,0.65,,8,0.61,14,71,3.27,0.001132
¢ó,,182,200,667,7.7,,,0.27,15.4,0.11,1.11,1.7,0.9,11.3,3.7,58,24,137,34,407,85,779,769,0.91,,7.1,0.62,14,49,2.81,0.000928
¢ó,,46,80,194,4.1,,,0.01,6.3,0.01,0.25,0.5,0.2,2.6,0.8,13,6,32,8,106,23,200,711,0.57,,7.9,0.58,25,110,4.32,0.003
¢ó,,63,97,448,8.2,,,0.05,7.6,0.04,0.63,1.1,0.5,6.3,2.1,33,14,79,21,266,56,488,777,0.64,,8,0.61,12,50,3.08,0.001369
¢ó,,121,180,519,4.7,,,0.01,12.8,0.02,0.46,1.2,0.5,6.8,2.3,39,17,99,26,330,71,605,723,0.68,,8.6,0.59,28,165,6.17,0.001128
¢ó,,53,89,339,4.4,,,0,6.8,0.02,0.31,0.7,0.3,3.9,1.4,22,10,56,15,192,42,350,718,0.6,,8.8,0.65,22,108,4.44,0.001912
¢ó,,107,161,503,4.3,,,0.01,11.5,0.03,0.49,1.2,0.6,6.3,2.1,33,14,83,22,276,60,509,715,0.66,,8.3,0.64,24,130,5.04,0.001282
¢ó,,96,132,527,5.3,,,0.16,9.7,0.09,0.9,1.3,0.7,7.2,2.3,36,15,86,22,290,63,535,734,0.73,,8.2,0.67,11,37,0.81,0.001266
¢ó,,78,120,483,3.5,,,0,9.3,0.04,0.76,1.6,0.7,6.9,2.3,34,14,80,21,260,57,486,698,0.65,,7.7,0.67,12,58,1.55,0.001392
¢ó,,93,134,547,5.9,,,0.04,9.9,0.04,0.69,1.3,0.6,7.3,2.4,40,17,99,25,319,68,589,744,0.69,,8.1,0.62,14,62,3.07,0.001129
¢ó,,429,240,944,5.7,,,0.04,23.5,0.15,2.63,5.2,1.7,24.4,6.9,94,34,168,39,444,87,930,740,1.78,,4.7,0.47,9,41,1.44,0.000495
¢ó,,76,110,523,5.7,,,0.01,9,0.06,0.99,1.8,0.9,8.6,2.6,38,15,83,21,262,55,498,742,0.69,,6.9,0.69,9,38,1.13,0.001327
