label,Hf ,Th ,U ,Y ,Ti ,Nb,Ta,La,Ce ,Pr,Nd ,Sm ,Eu ,Gd ,Tb ,Dy ,Ho ,Er ,Tm ,Yb ,Lu ,REE,T (?),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,?FMQ,(EuN/EuN*)/Y
barren,10250,174,617,1876,4.5,3.04,1.65,0.1,8,0.34,1.2,3.3,0.4,24.6,9.6,139,55,284,59,674,112,1370,705,0.28,5,4.8,0.14,7,42,0.52,0.000075
barren,10433,181,642,1437,4.5,2.5,0.96,0,6,0.04,0.78,2.4,0.4,17.5,7.1,104,41,212,44,510,86,1030,705,0.28,7,4.9,0.17,8,54,1.49,0.000118
barren,11246,157,701,1415,5.8,1.95,1.16,0.02,4.9,0.04,0.73,2.2,0.3,16.7,7,101,40,206,44,505,84,1012,729,0.22,8,5,0.14,7,48,1.69,0.000099
barren,9700,323,658,2157,6.7,3.55,1.87,0.12,14.8,0.1,1.58,4.3,0.9,31.1,12,168,65,321,65,734,122,1539,742,0.49,4,4.4,0.25,9,60,2.85,0.000116
barren,11862,469,1533,2155,6.7,5.73,2.03,0.88,14.1,0.78,5.24,5.4,0.6,28.9,11.5,162,63,318,65,740,121,1537,742,0.31,6,4.6,0.13,3,6,-5.52,0.00006
barren,9039,146,385,2128,37.8,2.51,2.93,0.06,7.4,0.14,2.11,4.8,0.9,31.7,11.4,160,63,312,64,716,120,1493,933,0.38,4,4.5,0.22,3,18,2.78,0.000103
barren,11204,271,865,1714,2.7,4.62,1.29,0.36,14.3,0.19,1.7,3,0.4,21.5,8.7,124,49,252,52,598,99,1223,663,0.31,7,4.8,0.16,8,35,-1.47,0.000093
barren,10265,1060,1803,1899,4.8,3.82,0.98,0.11,13.7,0.08,1.06,3,0.5,25,9.7,139,54,279,58,673,117,1374,711,0.59,5,4.8,0.19,13,86,3.39,0.0001
barren,11546,190,821,1649,6.8,3.76,2.45,0.14,7.5,0.16,1.74,2.7,0.4,19.7,8.2,118,46,236,50,575,95,1160,743,0.23,7,4.9,0.16,4,15,-2.17,0.000097
barren,9728,74,241,1515,9.7,1.08,1.18,0.01,2.4,0.06,1.13,3.4,0.3,22.7,8.4,115,45,227,46,522,89,1082,777,0.31,6,4.5,0.11,2,15,-1.36,0.000073
barren,9711,155,378,1440,6.4,2.6,1.27,0,10.4,0.04,1.27,3.2,0.6,22.1,8.1,109,43,212,43,487,82,1020,737,0.41,7,4.5,0.22,8,47,1.87,0.000153
barren,10248,114,303,1246,6.6,2.63,1.56,0.08,8.2,0.06,0.94,2.5,0.4,17.7,6.8,91,37,182,38,433,74,892,740,0.38,8,4.7,0.18,9,54,2.43,0.000144
barren,12535,276,1350,3431,2.6,3.58,1.86,0.66,7.5,0.83,5.92,7,0.9,39.5,17.1,251,101,529,113,1317,218,2608,661,0.2,4,5.3,0.17,1,4,-10.13,0.00005
barren,9730,109,309,1655,7.9,1.74,1.2,0.01,5,0.06,1.4,3.9,0.6,24.6,9.4,125,49,245,51,578,99,1191,757,0.35,6,4.6,0.17,4,23,-0.33,0.000103
barren,12513,461,1834,3589,2.7,9.61,1.28,0.04,13.6,0.07,1.39,5.3,0.6,45.9,19.2,276,110,544,109,1210,198,2535,663,0.25,3,4.4,0.13,10,86,1.97,0.000036
barren,9884,78,256,1510,17.4,1.05,1.58,0.27,3.1,0.11,1.36,3.3,0.4,22.3,8.5,115,45,226,46,522,89,1084,839,0.3,7,4.5,0.13,2,13,-0.56,0.000086
barren,10216,359,788,2353,4.2,5.73,1.65,0.22,17.6,0.13,1.96,5,0.8,35.5,13.3,180,72,356,72,808,137,1700,699,0.46,4,4.5,0.18,9,54,1.26,0.000077
barren,10609,314,789,1872,10.6,3.79,1.45,0.02,11.7,0.07,1.5,4.3,0.6,28.8,10.7,145,57,278,56,623,103,1319,786,0.4,6,4.3,0.18,8,52,3.48,0.000096
barren,10326,101,405,2031,7.5,1.92,1.86,0.48,2.9,0.15,1.68,4.1,0.2,28.5,10.8,154,60,302,62,697,117,1441,752,0.25,5,4.5,0.07,2,10,-3.71,0.000034
barren,9568,90,287,1644,10.1,1.63,1.33,0.11,4.3,0.11,1.52,3.6,0.6,23.8,9.1,124,49,247,50,572,98,1184,781,0.31,6,4.6,0.19,3,15,-1.22,0.000116
barren,9747,117,388,2152,11.5,1.93,2,0.09,2.7,0.16,1.99,5.1,0.4,31.6,12,164,64,318,65,726,123,1514,794,0.3,5,4.4,0.1,1,8,-3.27,0.000046
barren,8036,364,553,606,15.8,1.28,1.66,0.71,10,0.28,1.99,2.5,0.3,11,3.6,45,16,82,17,205,36,431,829,0.66,13,4.6,0.17,5,15,-0.29,0.00028
barren,9719,1345,2420,1251,6.9,6.83,1.45,0.24,19.4,0.3,2.98,4.5,0.2,21.6,7.2,92,34,172,37,430,72,893,744,0.56,8,4.7,0.07,6,23,-0.73,0.000056
barren,8749,1250,1802,1137,12.8,4.25,1.18,0.51,17.9,0.64,5.24,5.8,0.4,22.3,7.1,88,31,155,32,381,64,811,806,0.69,8,4.3,0.09,3,9,-2.74,0.000079
barren,8746,479,838,714,11.1,2.54,1.04,0.08,9.5,0.1,1.57,2.7,0.2,12.4,4.1,52,19,96,20,248,42,508,791,0.57,12,4.8,0.13,6,24,0.67,0.000182
barren,8549,956,1412,1465,10.8,2.66,1.3,0.82,14.3,0.66,5.02,6.5,0.5,28.6,8.9,111,40,199,41,478,82,1016,788,0.68,6,4.3,0.11,3,9,-3.22,0.000075
barren,8081,402,699,734,11.6,1.5,2.3,0.74,10.2,0.27,2.2,2.8,0.3,13.3,4.3,53,20,99,21,260,45,532,795,0.58,11,4.9,0.17,5,14,-1.33,0.000231
barren,8231,382,655,677,11,1.56,1.12,0.16,8.5,0.09,1.44,2.2,0.3,11.8,3.9,49,18,92,19,234,40,481,790,0.58,12,4.8,0.17,6,21,0.25,0.000251
barren,10047,2351,5018,2529,7.7,20.05,1.12,0.28,39.9,0.57,6.29,9.7,0.3,46.1,15,193,71,359,76,887,146,1850,755,0.47,4,4.6,0.04,6,23,-0.4,0.000016
barren,9582,636,1211,784,8.5,3.77,1.06,0.11,12.4,0.13,1.99,2.5,0.2,13,4.4,57,21,110,23,281,48,575,764,0.53,12,4.9,0.09,6,18,-0.98,0.000115
barren,9087,749,1299,1322,9.7,4.23,1.18,0.14,12.8,0.28,3.47,5.6,0.4,25.5,8,101,36,179,37,434,73,915,778,0.58,7,4.3,0.1,4,14,-1.72,0.000076
barren,8252,651,970,1098,12,1.83,1.19,0.03,10.3,0.22,3.13,4.9,0.4,21.6,6.7,82,30,150,31,365,62,768,799,0.67,8,4.4,0.13,3,12,-1.76,0.000118
barren,7914,2055,2000,1654,12.1,3.67,1.19,0.29,19.2,0.31,4.65,7,0.6,35.1,10.8,133,47,227,46,526,87,1143,800,1.03,5,4,0.12,4,15,-0.96,0.000073
barren,8571,1372,2083,1949,10.1,8.26,1.5,0.18,12.9,0.47,5.98,8.4,0.5,40.2,12.7,157,55,268,55,638,107,1361,781,0.66,4,4.1,0.08,2,7,-4.16,0.000041
barren,8799,452,821,705,30.6,5.6,1.88,0.81,10.6,0.26,2.12,2.9,0.2,12.1,4,52,18,96,21,248,42,509,906,0.55,12,4.8,0.11,5,16,1.65,0.000156
barren,9419,1015,1808,1557,10.1,5.71,1.09,0.32,15.7,0.33,4.29,6.1,0.3,30,9.4,120,44,214,45,524,87,1100,782,0.56,6,4.4,0.07,4,12,-2.1,0.000045
barren,9126,823,1371,1076,14.9,6.18,1.36,0.12,13.7,0.21,2.4,4.3,0.3,19.1,6.1,79,28,144,30,371,63,761,822,0.6,8,4.7,0.11,6,24,1.37,0.000102
barren,8196,688,1172,969,12,2.7,1.57,0.18,10.8,0.18,2.06,3.4,0.3,16.3,5.3,67,25,131,28,339,60,689,799,0.59,8,5,0.12,5,20,0.25,0.000124
barren,8701,495,809,819,13.4,2.65,1.09,0.01,11.7,0.07,1.26,2.6,0.3,13,4.3,55,20,106,22,271,47,555,811,0.61,11,4.9,0.13,9,44,3.46,0.000159
barren,8538,1366,1635,1483,24.7,4.27,1.06,0.35,19.1,0.31,3.66,5.7,0.5,26.3,8.6,106,38,191,39,462,78,979,880,0.84,6,4.3,0.13,5,19,1.8,0.000088
barren,9568,1168,1801,1249,10.1,4.82,1.19,0.02,19.9,0.15,2.42,4.7,0.4,21.8,7.1,89,32,162,33,393,67,833,781,0.65,8,4.4,0.11,8,37,2.13,0.000088
barren,8303,2790,2699,2323,22.1,7.56,0.95,0.43,30.4,0.58,6.8,10,0.8,49.6,15.3,180,63,298,59,672,111,1498,866,1.03,4,3.7,0.11,4,15,0.75,0.000047
barren,8294,1405,1605,2143,12.6,2.65,1.48,0.08,15.6,0.46,6.13,9.8,1.1,45.6,13.5,163,57,280,56,639,105,1393,804,0.88,4,3.9,0.15,3,9,-2.5,0.00007
barren,8472,618,884,1007,15,1.92,4.13,0.02,11.6,0.16,2.72,4.5,0.5,19.4,6,73,26,130,27,319,55,675,823,0.7,8,4.3,0.15,4,16,-0.02,0.000149
barren,8670,858,1154,1462,17.9,3.03,1.06,0.16,14.9,0.29,3.69,5.8,0.6,27.5,8.7,107,39,192,39,461,78,978,842,0.74,6,4.3,0.14,4,15,0.1,0.000096
barren,9432,1148,1461,2134,13.6,2.99,3.86,0.11,17.2,0.43,6.14,11.1,1.1,52.2,14.9,175,58,274,54,616,100,1380,812,0.79,4,3.5,0.14,3,12,-1.48,0.000066
barren,9609,1538,2634,1670,11.8,8.22,7.49,0.14,15.8,0.36,4.74,7.3,0.5,35.7,10.8,132,46,221,45,520,86,1125,797,0.58,6,3.9,0.09,3,12,-1.74,0.000054
barren,10021,1461,2166,1455,10.3,6.03,27.6,0.04,23,0.18,2.92,5,0.3,24.3,8.1,103,38,193,40,480,82,1000,784,0.67,7,4.7,0.09,8,31,1.52,0.000062
barren,9189,1063,1292,1793,18.1,3.09,6.53,0.43,17.4,0.56,6,7.8,0.8,36.7,11.2,136,48,236,47,550,91,1189,843,0.82,5,4,0.14,3,9,-1.87,0.000078
barren,7889,431,634,1825,11,2.4,39.78,0.43,13.2,0.23,2.64,4.9,0.8,27.1,9.4,126,49,259,53,640,110,1297,790,0.68,4,5.1,0.21,5,22,0.29,0.000115
barren,9071,698,1053,972,12.9,3.01,6.71,0.2,14.9,0.17,2.05,3.4,0.4,16.5,5.5,68,25,126,27,319,56,664,806,0.66,9,4.7,0.15,7,28,1.65,0.000154
