label,Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
B,8046 ,223 ,361 ,1957 ,13.0 ,43.9 ,3.9 ,0.57 ,27.4 ,0.66 ,5.8 ,10.8 ,2.9 ,47 ,17 ,196 ,70 ,306 ,70 ,730 ,116 ,1601 ,800 ,0.62 ,4.11 ,3.72 ,0.39 ,4.71 ,20.3 ,0.29 ,0.000199 
B,8765 ,919 ,1054 ,3254 ,,235.3 ,21.1 ,2.27 ,54.0 ,2.58 ,19.9 ,28.4 ,3.5 ,94 ,33 ,357 ,121 ,516 ,118 ,1187 ,186 ,2722 ,,0.87 ,2.69 ,3.33 ,0.21 ,2.71 ,9.0 ,,0.000064 
B,7516 ,305 ,312 ,2412 ,6.9 ,8.3 ,1.1 ,0.25 ,58.1 ,0.47 ,6.1 ,12.2 ,3.4 ,54 ,19 ,227 ,84 ,371 ,83 ,861 ,133 ,1914 ,738 ,0.98 ,3.12 ,3.80 ,0.40 ,9.50 ,44.2 ,1.64 ,0.000165 
B,9132 ,100 ,235 ,1082 ,4.3 ,3.9 ,0.9 ,1.51 ,23.0 ,0.54 ,3.6 ,3.5 ,0.9 ,19 ,7 ,92 ,37 ,172 ,42 ,446 ,75 ,922 ,695 ,0.43 ,8.44 ,4.86 ,0.34 ,6.38 ,14.5 ,-3.75 ,0.000317 
B,13370 ,3458 ,9396 ,8120 ,,468.4 ,45.7 ,8.55 ,89.0 ,6.03 ,39.9 ,44.3 ,2.9 ,165 ,67 ,813 ,294 ,1281 ,287 ,2828 ,423 ,6348 ,,0.37 ,1.65 ,3.48 ,0.11 ,2.23 ,5.8 ,,0.000013 
B,8044 ,317 ,712 ,2331 ,,42.9 ,3.3 ,2.03 ,40.6 ,2.06 ,14.7 ,19.4 ,2.6 ,66 ,23 ,248 ,84 ,356 ,81 ,841 ,129 ,1910 ,,0.45 ,3.45 ,3.39 ,0.22 ,2.77 ,8.5 ,,0.000095 
B,8766 ,212 ,299 ,1422 ,8.8 ,75.4 ,5.9 ,0.60 ,33.7 ,0.90 ,7.6 ,11.5 ,2.4 ,37 ,13 ,145 ,51 ,228 ,54 ,580 ,97 ,1261 ,760 ,0.71 ,6.17 ,3.99 ,0.36 ,4.43 ,15.7 ,-1.68 ,0.000253 
B,8789 ,242 ,401 ,1759 ,,108.8 ,7.6 ,0.72 ,45.1 ,1.22 ,10.7 ,15.3 ,2.9 ,48 ,17 ,182 ,63 ,276 ,65 ,686 ,112 ,1524 ,,0.60 ,5.00 ,3.76 ,0.32 ,4.21 ,14.0 ,,0.000184 
B,9454 ,335 ,518 ,2189 ,9.0 ,45.0 ,2.7 ,0.60 ,38.7 ,0.94 ,8.1 ,13.4 ,2.7 ,50 ,19 ,215 ,78 ,345 ,80 ,824 ,129 ,1805 ,763 ,0.65 ,4.32 ,3.83 ,0.31 ,4.76 ,18.2 ,-1.04 ,0.000144 
B,7926 ,268 ,257 ,2527 ,9.0 ,3.2 ,0.6 ,0.13 ,49.6 ,0.73 ,10.0 ,17.2 ,7.4 ,70 ,23 ,250 ,89 ,382 ,88 ,923 ,149 ,2059 ,763 ,1.05 ,3.14 ,3.69 ,0.65 ,4.97 ,20.0 ,-0.68 ,0.000257 
