Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
10946,56.6,89.2,835,3.02,2.16,0.61,0.0038,31.9,0.044,0.89,2.93,0.95,15.7,5.25,65.9,26.2,125,27.8,277,58,637.6982081,662,0.63,13.1,4.2,0.43,35.69,273,6.24,0.000511
10801,53.4,83.3,779,3.46,1.72,0.56,0.007,26.1,0.039,1.34,2.18,1.04,14.9,4.88,60.2,25.4,120,26.3,259,54.1,595.4191307,673,0.64,13.9,4.3,0.56,19.45,74,1.66,0.000719
10767,91.7,113,958,2.66,2.6,0.55,0,38,0.043,1.14,2.92,1.13,18.8,6.84,81.7,31.7,140,30.7,300,62.2,715.0714766,652,0.81,11.2,3.7,0.47,33.48,200,4.76,0.000487
10959,121,117,836,3.15,2.12,0.54,0.006,38.2,0.076,1.13,3.7,1.38,20.8,6.35,73.6,28,121,25.5,248,51.3,619.9642449,665,1.03,13.1,3.4,0.48,33.84,259,6.14,0.000577
10928,40,66.5,646,2.86,1.2,0.39,4.29,30.6,1.32,7.04,2.86,0.95,13.3,4.04,51.3,20.2,95.6,21.7,218,46.8,518.1439825,658,0.6,16.9,4.2,0.47,4.34,4,-9.65,0.000728
10921,77.5,102,902,2.95,1.94,0.6,0,31.8,0.096,1.43,3.39,1.42,21.1,6.36,74.3,29.4,133,28.8,277,58.7,667.1727807,660,0.76,12.1,3.7,0.51,22.16,122,3.16,0.00057
11120,90.6,116,1043,4.81,3.03,0.64,0.079,43.2,0.07,1.83,3.36,1.22,21.3,6.73,84.1,33.2,152,32.4,319,66.2,765.1234649,700,0.78,10.7,3.8,0.44,23.59,101,3.67,0.000421
12339,133,209,603,2.57,1.8,0.51,0.061,26.8,0.056,1.12,1.74,0.8,13,3.86,47.3,18.9,87,20,206,48.6,474.9926816,649,0.64,20.5,4.3,0.51,23.99,87,1.54,0.00085
10938,76.6,96.3,925,3.44,1.89,0.45,6.07,48.7,1.98,10.1,5.14,1.63,19.8,6.41,73.3,29.6,132,29,278,59.4,701.9534129,672,0.8,11.8,3.8,0.49,4.81,6,-7.97,0.000534
10852,143,142,996,5.03,2.4,0.58,0.012,48,0.035,1.67,3.96,1.46,21.8,7.67,85.8,32.7,141,30,285,58.5,717.8306258,704,1.01,10.9,3.3,0.48,28.76,159,5.49,0.000481
10783,56.4,92.8,601,3.14,1.33,0.44,0.0073,22.3,0.034,0.75,2.24,0.64,12.4,3.84,48,18.8,87.4,19.6,195,43.6,454.7726585,665,0.61,17.9,4.1,0.37,29.91,210,5.35,0.000612
11687,49.7,87.4,693,8.96,1.72,0.58,0.3,24.8,0.14,1.16,2.13,0.88,13.2,4.2,53.9,22,102,23.7,233,51.2,531.8451832,757,0.57,16.9,4.3,0.51,21.28,91,4.83,0.000731
11065,75.8,79.5,724,4.39,1,0.3,0.04,27.3,0.15,2.57,5.4,1.98,23.4,6.29,67.2,23.9,103,21.8,205,43,530.1833003,692,0.95,15.3,3,0.54,10.64,52,0.95,0.000745
11171,120,126,742,3.78,1.92,0.55,0.061,34.8,0.092,1.16,2.84,1.03,16,5.05,62.5,24.4,110,24.2,228,49,559.2129635,680,0.95,15.1,3.7,0.47,30.03,172,5.06,0.000631
11222,80.7,100,721,2.45,1.56,0.46,0,30.4,0.052,1.11,2.5,0.98,14.6,4.87,60.5,23.2,106,23.8,228,47.6,543.0050832,646,0.8,15.6,3.8,0.5,27.45,144,3.33,0.000691
11194,69.6,96.1,902,5,1.87,0.49,2.73,39.2,0.99,6.23,3.75,1.21,19.1,6.04,73.6,29.1,130,29.8,282,60.3,684.6588252,703,0.72,12.4,3.8,0.44,6.3,9,-5.38,0.000483
11141,101,128,1056,3.93,2.84,0.83,0.0081,45.9,0.089,1.02,3.17,0.68,20.4,6.94,86.1,32.9,150,33.1,312,65,757.3010632,683,0.79,10.5,3.6,0.26,44.93,325,7.56,0.000245
11242,68.5,94.7,804,3.37,1.81,0.59,2,34.3,0.69,4.06,3.3,1.05,17.4,5.45,62.8,25.9,120,26.5,261,55.1,619.4856738,671,0.72,14,4.2,0.42,8.46,16,-4.13,0.000526
10230,87.1,89.7,1332,7.75,2.28,0.49,0.069,20.9,0.09,1.48,3.95,1.91,26.9,9.52,113,43.3,197,42.8,396,83.9,941.3868205,743,0.97,7.7,3.5,0.57,14.15,88,4.36,0.000426
10952,53.5,75.5,655,2.45,1.48,0.41,9.81,48.7,3.19,14.4,4.17,1.16,14.7,4.59,53,20.9,96.4,21.4,200,43.6,535.8348896,645,0.71,16.7,3.8,0.45,3.38,2,-12.28,0.000688
10524,78.9,102,903,1.04,2.21,0.57,0.002,35.4,0.061,1.1,2.81,1.26,16.2,5.92,72.3,28.8,133,30.3,286,60,673.7741212,585,0.77,11.7,4,0.57,32.27,193,2.28,0.000632
11094,150,132,984,3.77,2.9,0.72,0.23,41.4,0.14,1.8,4.63,1.39,23.7,7.28,88.4,31.8,149,32.6,299,61.4,742.0227329,680,1.13,11.3,3.4,0.4,22.99,138,4.23,0.000411
11160,152,134,574,3.21,1.4,0.49,0.73,32.8,0.24,1.91,2.62,1.01,13.8,4.28,50.4,18.9,84.1,18.3,173,36.6,438.5246995,667,1.13,19.4,3.4,0.51,17.22,55,0.38,0.000896
9764,134,133,1207,6.25,2.14,0.48,0,45.9,0.12,1.78,3.71,1.58,28.2,8.85,102,39.1,174,36.2,342,72.6,856.4677133,723,1.01,8.1,3.4,0.47,25.73,125,5.12,0.000392
10764,61,87.1,900,4.17,1.85,0.48,0.14,32,0.14,0.82,3.12,1.13,17.2,5.84,74.7,28.3,132,30.3,285,61.2,671.9112221,688,0.7,12,3.8,0.47,38.91,344,7.92,0.000525
10779,118,137,1235,3.89,3.3,0.7,0.091,51,0.083,2.18,3.94,1.42,24.8,8.4,103,39.6,183,39,364,74.5,894.9449389,682,0.86,8.7,3.5,0.44,23.38,98,3.04,0.000356
11426,44.8,66.6,657,1.84,1.39,0.5,0.019,26,0.034,0.62,1.99,0.79,12.4,4.06,53.4,20.6,98.2,22,211,45.8,497.1652596,624,0.67,17.4,4,0.49,41.81,311,5.5,0.000745
10664,90.5,89,543,2.87,1.4,0.44,0,28.5,0.051,0.73,1.96,0.87,11.7,3.83,45.9,17.5,78.4,18,165,35.5,408.4533576,658,1.02,19.6,3.6,0.55,39.13,245,5.71,0.001022
10595,84.2,104,499,2.59,1.23,0.39,0.0041,25.6,0.033,0.69,2.26,0.66,11.1,3.59,43.6,15.6,73.8,15.7,152,32.6,377.3132641,650,0.81,21.2,3.5,0.4,37.27,285,6.02,0.000803
11522,94.1,107,569,2.41,1.45,0.4,0.0047,26.4,0.058,0.86,2.2,0.74,11.4,3.93,47.7,17.9,83.8,18.7,178,38.4,429.8494328,644,0.88,20.3,3.7,0.45,30.57,181,4.14,0.000793
